"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"CZE","Czech Republic","W","Women","TOTAL","Total","2029","2029",5426328,,
"CZE","Czech Republic","W","Women","TOTAL","Total","2030","2030",5418788,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2021","2021",5307638,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2022","2022",5324130,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2023","2023",5335196,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2024","2024",5340998,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2025","2025",5343547,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2026","2026",5344680,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2027","2027",5344533,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2028","2028",5343206,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2029","2029",5340827,,
"CZE","Czech Republic","M","Men","TOTAL","Total","2030","2030",5337586,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2021","2021",10744378,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2022","2022",10767997,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2023","2023",10782816,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2024","2024",10788901,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2025","2025",10789467,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2026","2026",10787455,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2027","2027",10782952,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2028","2028",10776110,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2029","2029",10767155,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2030","2030",10756374,,
"DNK","Denmark","W","Women","TOTAL","Total","2021","2021",2939969,,
"DNK","Denmark","W","Women","TOTAL","Total","2022","2022",2950810,,
"DNK","Denmark","W","Women","TOTAL","Total","2023","2023",2962809,,
"DNK","Denmark","W","Women","TOTAL","Total","2024","2024",2974703,,
"DNK","Denmark","W","Women","TOTAL","Total","2025","2025",2986726,,
"DNK","Denmark","W","Women","TOTAL","Total","2026","2026",2999005,,
"DNK","Denmark","W","Women","TOTAL","Total","2027","2027",3011368,,
"DNK","Denmark","W","Women","TOTAL","Total","2028","2028",3023566,,
"DNK","Denmark","W","Women","TOTAL","Total","2029","2029",3035375,,
"DNK","Denmark","W","Women","TOTAL","Total","2030","2030",3046669,,
"DNK","Denmark","M","Men","TOTAL","Total","2021","2021",2908971,,
"DNK","Denmark","M","Men","TOTAL","Total","2022","2022",2918826,,
"DNK","Denmark","M","Men","TOTAL","Total","2023","2023",2930175,,
"DNK","Denmark","M","Men","TOTAL","Total","2024","2024",2941377,,
"DNK","Denmark","M","Men","TOTAL","Total","2025","2025",2952641,,
"DNK","Denmark","M","Men","TOTAL","Total","2026","2026",2964079,,
"DNK","Denmark","M","Men","TOTAL","Total","2027","2027",2975562,,
"DNK","Denmark","M","Men","TOTAL","Total","2028","2028",2986851,,
"DNK","Denmark","M","Men","TOTAL","Total","2029","2029",2997733,,
"DNK","Denmark","M","Men","TOTAL","Total","2030","2030",3008101,,
"DNK","Denmark","T","Total","TOTAL","Total","2021","2021",5848940,,
"DNK","Denmark","T","Total","TOTAL","Total","2022","2022",5869636,,
"DNK","Denmark","T","Total","TOTAL","Total","2023","2023",5892984,,
"DNK","Denmark","T","Total","TOTAL","Total","2024","2024",5916080,,
"DNK","Denmark","T","Total","TOTAL","Total","2025","2025",5939367,,
"DNK","Denmark","T","Total","TOTAL","Total","2026","2026",5963084,,
"DNK","Denmark","T","Total","TOTAL","Total","2027","2027",5986930,,
"DNK","Denmark","T","Total","TOTAL","Total","2028","2028",6010417,,
"DNK","Denmark","T","Total","TOTAL","Total","2029","2029",6033108,,
"DNK","Denmark","T","Total","TOTAL","Total","2030","2030",6054770,,
"FIN","Finland","W","Women","TOTAL","Total","2021","2021",2798686,,
"FIN","Finland","W","Women","TOTAL","Total","2022","2022",2800155,,
"FIN","Finland","W","Women","TOTAL","Total","2023","2023",2801464,,
"FIN","Finland","W","Women","TOTAL","Total","2024","2024",2802613,,
"FIN","Finland","W","Women","TOTAL","Total","2025","2025",2803542,,
"FIN","Finland","W","Women","TOTAL","Total","2026","2026",2804237,,
"FIN","Finland","W","Women","TOTAL","Total","2027","2027",2804635,,
"FIN","Finland","W","Women","TOTAL","Total","2028","2028",2804710,,
"FIN","Finland","W","Women","TOTAL","Total","2029","2029",2804439,,
"FIN","Finland","W","Women","TOTAL","Total","2030","2030",2803803,,
"FIN","Finland","M","Men","TOTAL","Total","2021","2021",2735244,,
